"Carimbo de data/hora","1 - Qual sua idade?","2 - Qual o seu meio principal de informação?","3 - Como está sua rotina? ","4 - Tem usado quais utensílios de prevenção indicados contra o coronavírus?","5 - É a favor do isolamento social para contenção do vírus ? ","6 - Como você está se sentindo neste momento de pandemia?","7 - Qual(is) sua(s) ocupação(ões)?","8 - É/São em um serviço considerado essencial?","9 - Qual sua renda mensal per capita antes da pandemia do Coronavírus?","10 - Você teve a redução desta renda durante a pandemia?"
"2020/04/27 9:32:56 PM GMT-3","20 anos","Trabalho/estudo na área da saúde","Saindo para outras atividades","Álcool em gel;Sabão","Sim","Depressivo","Estudante;Autônomo","Não","De R$ 522,50 a R$ 1045,00;","Sim, pouco (menos da metade)"
"2020/04/27 9:42:51 PM GMT-3","20","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Luvas;Álcool em gel;Sabão","Sim","Normal;Preocupado","Estudante;Desempregado","Não se aplica","De R$ 522,50 a R$ 1045,00;","Sim, pouco (menos da metade)"
"2020/04/27 9:44:34 PM GMT-3","27","Trabalho/estudo na área da saúde","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante;CLT","Não","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 9:58:26 PM GMT-3","34","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Luvas;Álcool em gel;Sabão","Sim","Preocupado","Servidor/funcionário público","Sim","Acima de R$ 3135,00;","Não"
"2020/04/27 10:00:32 PM GMT-3","38","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Não","Ansioso;Depressivo","Estudante;Autônomo","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 10:03:26 PM GMT-3","2e","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Normal;Preocupado","CLT","Não","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 10:05:17 PM GMT-3","26","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel","Sim","Normal;Depressivo;Preocupado","Estudante;CLT","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 10:05:42 PM GMT-3","31 anos","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Álcool em gel;Sabão","Sim","Ansioso","Estudante;Autônomo","Não","De R$ 1045,00 a R$ 3135,00;","Sim, muito (mais da metade)"
"2020/04/27 10:06:39 PM GMT-3","17","Redes sociais, amigos, familiares, grupos de whats.","Em isolamento total","Máscaras;Álcool em gel;Sabão","Sim","Depressivo","Estudante","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 10:06:49 PM GMT-3","27","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Sabão","Sim","Ansioso;Preocupado","Estudante","Não se aplica","Acima de R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 10:09:53 PM GMT-3","20","Redes sociais, amigos, familiares, grupos de whats.","Em isolamento total","Álcool em gel","Sim","Normal","Estudante","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 10:10:54 PM GMT-3","20","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Luvas;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante","Não se aplica","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 10:16:16 PM GMT-3","21","TV, sites oficiais de notícia, rádios","Em isolamento total","Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante","Não","Até R$ 522,50;","Sim, muito (mais da metade)"
"2020/04/27 10:17:12 PM GMT-3","34","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante;Servidor/funcionário público","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 10:17:39 PM GMT-3","20","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante;Estagiária","Não","De R$ 1045,00 a R$ 3135,00;","Não"
"2020/04/27 10:21:08 PM GMT-3","24","TV, sites oficiais de notícia, rádios","Em isolamento total","Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante","Não se aplica","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 10:21:31 PM GMT-3","23","TV, sites oficiais de notícia, rádios","Em isolamento total","Máscaras;Álcool em gel","Sim","Ansioso","Estudante","Não","Até R$ 522,50;","Não"
"2020/04/27 10:30:57 PM GMT-3","Gravataí ","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante;CLT","Não se aplica","De R$ 522,50 a R$ 1045,00;","Não"
"2020/04/27 10:31:42 PM GMT-3","23","Redes sociais, amigos, familiares, grupos de whats.","Em isolamento total","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Depressivo;Preocupado","Estudante","Não","De R$ 1045,00 a R$ 3135,00;","Não"
"2020/04/27 10:32:09 PM GMT-3","39","TV, sites oficiais de notícia, rádios","Em isolamento total","Máscaras;Álcool em gel;Sabão","Sim","Normal","Estudante;Autônomo","Não","Acima de R$ 3135,00;","Sim, muito (mais da metade)"
"2020/04/27 10:38:54 PM GMT-3","53","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante;CLT","Sim","Acima de R$ 3135,00;","Não"
"2020/04/27 10:45:10 PM GMT-3","25","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Normal","Estudante","Não se aplica","Acima de R$ 3135,00;","Não"
"2020/04/27 10:48:12 PM GMT-3","18","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Luvas;Álcool em gel;Sabão","Sim","Preocupado","Estudante","Não se aplica","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 10:53:44 PM GMT-3","22","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante;Bolsista de IC","Não se aplica","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 10:59:39 PM GMT-3","21","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Sabão","Sim","Ansioso;Preocupado","Estudante","Não se aplica","De R$ 522,50 a R$ 1045,00;","Não"
"2020/04/27 11:06:33 PM GMT-3","18","Redes sociais, amigos, familiares, grupos de whats.","Em isolamento total","Álcool em gel;Sabão","Sim","Normal","Estudante","Não","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 11:17:59 PM GMT-3","21","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante;Desempregado","Não se aplica","Até R$ 522,50;","Não"
"2020/04/27 11:18:07 PM GMT-3","20","Redes sociais, amigos, familiares, grupos de whats.","Em isolamento total","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante","Não","Até R$ 522,50;","Não"
"2020/04/27 11:18:57 PM GMT-3","21","TV, sites oficiais de notícia, rádios","Em isolamento total","Máscaras;Luvas;Álcool em gel;Sabão","Sim","Ansioso","Estudante;Empregado informal.","Não","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 11:22:09 PM GMT-3","19","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Depressivo;Preocupado","Estudante","Não se aplica","Até R$ 522,50;","Não"
"2020/04/27 11:23:13 PM GMT-3","36","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Luvas;Álcool em gel;Sabão","Sim","Ansioso;Depressivo;Preocupado","Estudante;Servidor/funcionário público","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 11:24:01 PM GMT-3","18","Redes sociais, amigos, familiares, grupos de whats.","Em isolamento total","Nenhum, não tive interesse","Sim","Normal","Estudante","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 11:25:56 PM GMT-3","32","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante;trab informal","Não","De R$ 522,50 a R$ 1045,00;","Sim, muito (mais da metade)"
"2020/04/27 11:25:58 PM GMT-3","18","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante","Não","Até R$ 522,50;","Sim, pouco (menos da metade)"
"2020/04/27 11:26:46 PM GMT-3","21","TV, sites oficiais de notícia, rádios","Em isolamento total","Máscaras;Luvas;Álcool em gel","Sim","Ansioso;Depressivo;Preocupado","Estudante","Não se aplica","Até R$ 522,50;","Não"
"2020/04/27 11:27:44 PM GMT-3","29","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Luvas;Álcool em gel;Sabão","Sim","Preocupado","Estudante;Servidor/funcionário público","Não","De R$ 1045,00 a R$ 3135,00;","Não"
"2020/04/27 11:37:12 PM GMT-3","19","Redes sociais, amigos, familiares, grupos de whats.","Saindo para outras atividades","Máscaras","Não","Ansioso;Depressivo;Preocupado","Estudante","Não","De R$ 522,50 a R$ 1045,00;","Sim, muito (mais da metade)"
"2020/04/27 11:38:32 PM GMT-3","18","Trabalho/estudo na área da saúde","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Normal","Estudante","Não se aplica","Acima de R$ 3135,00;","Sim, muito (mais da metade)"
"2020/04/27 11:39:27 PM GMT-3","41","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Depressivo;Preocupado","Estudante;CLT","Não","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/27 11:40:40 PM GMT-3","42","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","CLT;Servidor/funcionário público","Não","Acima de R$ 3135,00;","Não"
"2020/04/27 11:41:54 PM GMT-3","18","Redes sociais, amigos, familiares, grupos de whats.","Em isolamento total","Máscaras;Álcool em gel;Sabão","Sim","Ansioso","Estudante","Não se aplica","De R$ 522,50 a R$ 1045,00;","Não"
"2020/04/27 11:42:42 PM GMT-3","37","TV, sites oficiais de notícia, rádios","Normal, saindo para estudo/trabalho presencial","Máscaras;Álcool em gel;Sabão","Sim","Normal","CLT","Não","De R$ 1045,00 a R$ 3135,00;","Não"
"2020/04/27 11:43:29 PM GMT-3","27","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Depressivo","Estudante","Sim","De R$ 522,50 a R$ 1045,00;","Sim, pouco (menos da metade)"
"2020/04/27 11:46:37 PM GMT-3","33","Trabalho/estudo na área da saúde","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante;Servidor/funcionário público","Não","De R$ 522,50 a R$ 1045,00;","Não"
"2020/04/27 11:59:17 PM GMT-3","20","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso","Estudante","Não","Acima de R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/28 12:02:05 AM GMT-3","22","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Depressivo","Estudante","Não","De R$ 522,50 a R$ 1045,00;","Sim, muito (mais da metade)"
"2020/04/28 12:03:10 AM GMT-3","63","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Preocupado","Estudante;CLT","Não se aplica","De R$ 522,50 a R$ 1045,00;","Não"
"2020/04/28 12:04:36 AM GMT-3","28","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Ansioso;Preocupado","Estudante;Estagiaria","Sim","De R$ 522,50 a R$ 1045,00;","Não"
"2020/04/28 12:09:23 AM GMT-3","23","TV, sites oficiais de notícia, rádios","Saindo só quando é inevitável","Álcool em gel;Sabão","Sim","Depressivo","Estudante","Não","De R$ 1045,00 a R$ 3135,00;","Não"
"2020/04/28 12:16:42 AM GMT-3","23","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Álcool em gel;Sabão","Sim","Normal","Estudante","Sim","De R$ 1045,00 a R$ 3135,00;","Sim, pouco (menos da metade)"
"2020/04/28 12:16:56 AM GMT-3","28","Redes sociais, amigos, familiares, grupos de whats.","Saindo só quando é inevitável","Máscaras;Sabão","Sim","Preocupado","Estudante","Não se aplica","Acima de R$ 3135,00;","Sim, pouco (menos da metade)"
